step,inner,outer
100,1.1029,4.1735
200,1.1609,4.1923
300,1.1217,4.1574
400,1.2367,4.1518
500,1.2486,4.1165
600,1.2808,4.1323
700,1.291,4.1055
800,1.2714,4.075
900,1.3279,4.0875
1000,1.3299,4.0997
1100,1.3378,4.063
1200,1.3256,4.0695
1300,1.1721,4.0528
1400,1.3713,4.0751
1500,1.3255,4.0617
1600,1.2728,4.0741
1700,1.3515,4.037
1800,1.3511,4.0718
1900,1.3624,4.046
2000,1.2707,4.0565
2100,1.2092,4.0745
2200,1.2211,4.0284
2300,1.4308,4.0574
2400,1.3904,4.0685
2500,1.397,4.0339
2600,1.4299,4.0392
2700,1.4519,4.0413
2800,1.4419,4.0352
2900,1.3928,4.0363
3000,1.477,4.0178
3100,1.3909,4.0442
3200,1.4151,4.0014
3300,1.4258,4.0166
3400,1.4933,4.0401
3500,1.4838,4.0334
3600,1.4165,4.0224
3700,1.3461,3.9633
3800,1.3601,4.0286
3900,1.3747,4.0333
4000,1.4681,4.0116
4100,1.4841,4.0546
